Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Luolavuori,1h+k+kph,kt,"30,00",99000,3300,1958,2/5,nej,nöjaktig,egen,F2013
Runosmäki,"1 h,kk,kph,maku...",kt,"33,00",56000,1697,1976,4/6,ja,nöjaktig,egen,C2007
Keskusta,"1h,kk,alk, kph",kt,"29,00",105500,3638,1951,1/4,nej,nöjaktig,egen,D2007
Raunistula,1h+kt+alk+p,kt,"32,00",191000,5969,2019,6/6,ja,bra,egen,C2013
Läntinen keskusta,Autohallipaikka,kt,"14,00",25364,1812,2019,,nej,,egen,
Nummi,1h+kk+vh+kph+la...,kt,"30,00",124150,4138,1963,3/7,ja,bra,egen,G2013
Martti,"1h,kk,kh",kt,"23,00",100000,4348,1948,5/7,nej,,egen,
Lauste,"1h,kk,kph",kt,"31,00",49000,1581,1980,2/4,nej,nöjaktig,egen,F2013
Martti,"1h,kk,ph, alkovi",kt,"20,00",95000,4750,1950,3/3,nej,bra,egen,D2007
Keskusta,"1h, k, kh",kt,"31,00",110000,3548,1962,2/7,ja,bra,egen,D
Kakolanmäki,"2 h,kt,vh",kt,"40,00",191900,4798,2020,6/6,ja,,hyrd,B2018
Keskusta,2h+kk+kh+pv,kt,"41,50",130000,3133,1965,5/9,ja,nöjaktig,egen,
Keskusta,2h+keittiö...,kt,"54,00",150000,2778,1965,5/7,ja,nöjaktig,egen,F2013
Luolavuori,"2h,k,las.p (yj....",kt,"59,00",92404,1566,1970,4/5,ja,nöjaktig,egen,F2013
Varissuo,"2h, k",kt,"60,00",72500,1208,1978,2/3,nej,nöjaktig,egen,F2013
Nättinummi,"2h, k , kph, 2x...",kt,"61,00",110000,1803,1973,4/8,ja,bra,egen,F2013
Satama,"1 h,tk,parveke",kt,"28,00",151500,5411,2020,5/6,ja,,egen,A2018
Satama,"2 h,kt,vh",kt,"43,00",184500,4291,2019,1/7,ja,,egen,B2013
Katariina,2h+k+p,kt,"69,50",152000,2187,1988,1/3,ja,bra,hyrd,E2013
Kakolanmäki,"2 h,kt,vh",kt,"40,00",187900,4698,2020,5/6,ja,,hyrd,B2018
Kakolanmäki,2h+kt,kt,"37,00",167000,4514,2020,4/6,nej,bra,hyrd,B2018
Keskusta / linnanfältti,"2 h,kt",kt,"37,00",158490,4284,2020,1/3,ja,,hyrd,B2018
Satama,"2 h,k,vh,parveke",kt,"50,00",225000,4500,2020,3/7,ja,,egen,A2018
Keskusta itä,"2h,kk,kh",kt,"43,50",160000,3678,1961,2/7,ja,bra,egen,G2007
Uittamo,2h+k+kph+vh+las.p,kt,"56,00",89000,1589,1974,6/7,ja,nöjaktig,egen,D2013
Runosmäki,"2 h, k, lasitet...",kt,"55,00",70000,1273,1977,4/6,ja,bra,egen,C2007
Hurttivuori,"2h, k, parv.",kt,"59,00",87000,1475,1970,4/4,nej,bra,egen,G2013
Keskusta / linnanfältti,"2 h,kt,vh,p",kt,"46,00",192123,4177,2020,2/3,ja,,hyrd,B2018
Satama,"1 h,tk,parveke",kt,"28,00",153000,5464,2020,5/7,ja,,egen,A2018
Keskusta / linnanfältti,"2 h,kt,s",kt,"49,00",227308,4639,2019,1/5,ja,,egen,B2018
Satama,"2 h,k,vh,terassi",kt,"57,00",246000,4316,2020,2/7,ja,,egen,A2018
Satama,"2 h,kt,vh",kt,"43,00",196000,4558,2019,4/7,ja,,egen,B2013
Hannunniittu,2h+k,kt,"53,00",114000,2151,1971,5/6,ja,nöjaktig,egen,F2013
Keskusta,2h+k+kh,kt,"50,00",175000,3500,1961,6/9,ja,nöjaktig,egen,F2013
Ilpoinen,2 h + k,kt,"55,00",80000,1455,1970,1/3,nej,,egen,F2013
Keskusta,2h+kk,kt,"50,50",194000,3842,1959,5/7,ja,bra,egen,G2013
Martti,2h + k + vh + k...,kt,"56,00",200500,3580,1957,5/6,ja,bra,egen,F2013
Majakkaranta,2h+k+s,kt,"64,50",209500,3248,1993,3/8,ja,bra,egen,F2013
Runosmäki,2h+k+kph,kt,"56,00",65000,1161,1975,2/5,ja,nöjaktig,egen,E2007
Keskusta,2h+kk,kt,"37,00",145000,3919,1958,7/8,ja,bra,egen,D2007
Vasaramäki,"2h,k,p",kt,"47,00",90000,1915,1961,4/4,nej,nöjaktig,hyrd,F2007
Martti,"2h, k, s, p",kt,"52,00",164000,3154,1948,6/7,ja,nöjaktig,egen,G2007
Vasaramäki,"2h, k, kh, p",kt,"56,00",155200,2771,1956,2/4,nej,bra,hyrd,
Vasaramäki,"2h,k,p",kt,"47,00",91000,1936,1961,4/4,nej,nöjaktig,hyrd,F2007
Port arthur,"2h,k,las.p",kt,"51,00",183000,3588,1963,1/8,ja,bra,egen,E2013
Varissuo,"2h, k, s",kt,"65,00",61500,946,1980,3/3,nej,nöjaktig,egen,F2013
Kaerla,"2h,k,kph,las.p",kt,"55,00",95000,1727,1964,3/4,nej,bra,egen,D2007
Keskusta,2h+k+kph/wc+par...,kt,"58,00",208000,3586,1954,6/6,ja,bra,egen,C2007
Raunistula,2 h+k+kph+p,kt,"55,00",123000,2236,1964,3/4,nej,bra,egen,G2013
Satama,"2 h,k,vh,parveke",kt,"57,00",250000,4386,2020,3/7,ja,,egen,A2018
Keskusta,2h+kk+kh+pv,kt,"41,50",141000,3398,1962,7/7,ja,nöjaktig,egen,F2013
Keskusta,"2h, k, kph, las...",kt,"55,00",209000,3800,1970,4/7,ja,bra,egen,F2013
Satama,"2 h,k,vh,terassi",kt,"57,00",250000,4386,2020,2/6,ja,,egen,A2018
Keskusta,2h+kk+kph/wc+pa...,kt,"49,00",188500,3847,1955,2/9,ja,bra,egen,G2013
Pohjola,"2h, k, p",kt,"57,00",166000,2912,1957,2/7,ja,bra,egen,F2013
Itäinen keskusta,"2h,k,kph,parveke",kt,"50,00",185000,3700,1962,7/7,ja,bra,egen,F2013
Satama,"2 h,k,vh,parveke",kt,"57,00",265000,4649,2020,5/6,ja,,egen,A2018
Runosmäki,"2h, k, kh, p",kt,"61,00",91000,1492,1975,4/6,ja,bra,egen,C2007
