"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Keskusta länsi","2h, kt, kh, p","kt","49,00",289000,5898,2016,"6/8","on","hyvä","oma","C2013"
"Iso-heikkilä","2h+K+KPH+VH+P","kt","51,00",118000,2314,1961,"6/7","on","tyyd.","oma","D2007"
"Nättinummi","2h, k, kph, vh","kt","59,00",100100,1697,1970,"6/7","on","tyyd.","oma","D2007"
"Pahaniemi","2h+k+kph+vh+las...","kt","60,00",67000,1117,1984,"6/8","on","tyyd.","oma","B2013"
"Kastu","2h,k, lasitettu...","kt","47,00",123200,2621,1965,"6/7","on","tyyd.","oma","F2013"
"Varissuo","2 h, k, kh, p","kt","62,00",62000,1000,1979,"6/6","on","tyyd.","oma","F2013"
"Hepokulta","2h, k","kt","58,50",80000,1368,1972,"6/8","on","hyvä","oma","F2013"
"Satama","2h,kt,s,lasit. p","kt","51,00",197983,3882,2020,"6/7","on"," ","vuokra","B2018"
"Martti","2h,k","kt","51,00",165000,3235,1957,"6/6","on","tyyd.","oma","E2007"
"Hepokulta","2h, kk, p","kt","46,50",58000,1247,1971,"6/8","on","tyyd.","oma","F"
"Itäinen keskusta","2h, k, s","kt","59,00",176000,2983,1980,"6/6","on","hyvä","oma","F2013"
"Runosmäki","2h, k, kph, lp","kt","58,00",70000,1207,1976,"6/9","on"," ","oma","C2007"
"Itäharju","2 h,k,s","kt","60,00",216000,3600,2000,"6/6","on","hyvä","oma","C2013"
"Majakkaranta","2h+keittiö...","kt","46,00",185000,4022,2001,"6/17","on","hyvä","oma","C2007"
"Varissuo","2h,k,kph,vh,las...","kt","59,00",60000,1017,1979,"6/6","on","hyvä","oma","F2013"
"Satama","2 h,kt","kt","40,00",187000,4675,2019,"6/7","on"," ","oma","B2013"
"Hepokulta","2h, k, kph, p","kt","58,50",63000,1077,1973,"6/7","on","tyyd.","oma","F2013"
"Kakolanmäki","2 h,kt,vh","kt","40,00",191900,4798,2020,"6/6","on"," ","vuokra","B2018"
"Uittamo","2h+k+kph+vh+las.p","kt","56,00",89000,1589,1974,"6/7","on","tyyd.","oma","D2013"
"Keskusta","2h+k+kh","kt","50,00",175000,3500,1961,"6/9","on","tyyd.","oma","F2013"
"Martti","2h, k, s, p","kt","52,00",164000,3154,1948,"6/7","on","tyyd.","oma","G2007"
